City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
659,Semporna,MY,4.4818,118.6112,79.14,82,100,2.17,overcast clouds
660,Talgar,KZ,43.3027,77.2395,30.36,100,100,2.24,mist
661,Gamba,GA,-2.65,10.0,81.28,72,45,12.15,scattered clouds
662,Egvekinot,RU,66.3167,-179.1667,-1.7,64,68,5.06,broken clouds
663,Tyup,KG,42.7276,78.3648,22.86,86,100,3.85,overcast clouds
664,Pasighat,IN,28.0667,95.3333,53.87,64,9,4.7,clear sky
665,Japura,ID,-0.3167,102.35,78.89,81,100,2.51,overcast clouds
666,Buk,PL,52.3553,16.5196,42.46,93,100,20.96,overcast clouds
667,Belogorsk,RU,50.9158,128.4611,-18.99,100,93,1.41,overcast clouds
668,Tateyama,JP,34.9833,139.8667,42.82,81,20,11.5,few clouds
669,Sibolga,ID,1.7427,98.7792,77.0,90,76,2.64,broken clouds
670,Sesheke,ZM,-17.4759,24.2968,73.49,73,98,8.01,overcast clouds
671,Southbridge,US,42.0751,-72.0334,18.66,89,100,3.0,snow
672,Linhares,BR,-19.3911,-40.0722,90.32,47,44,8.14,scattered clouds
673,Oum Hadjer,TD,13.2954,19.6966,86.18,10,26,6.76,scattered clouds
674,Savonlinna,FI,61.8699,28.88,25.25,80,0,14.97,clear sky
675,Sao Desiderio,BR,-12.3633,-44.9733,78.48,75,100,8.79,overcast clouds
676,Solnechnyy,RU,50.7214,136.6319,-13.52,94,91,3.67,overcast clouds
677,Gao,ML,16.6362,1.637,84.94,8,12,15.19,few clouds
678,Minas,UY,-34.3759,-55.2377,77.47,43,0,6.53,clear sky
679,Kampong Chhnang,KH,12.1667,104.55,81.57,54,62,5.86,broken clouds
680,Pangody,RU,65.85,74.4859,-4.72,96,100,8.61,overcast clouds
681,Puri,IN,19.8,85.85,64.92,48,1,5.39,clear sky
682,Hami,CN,42.8,93.45,23.72,48,3,7.23,clear sky
683,Mildura,AU,-34.2,142.15,75.16,60,0,8.05,clear sky
684,Tromso,NO,69.6496,18.957,20.37,73,0,4.61,clear sky
685,Tashtyp,RU,52.7939,89.8983,1.98,96,100,0.47,overcast clouds
